攻撃力UP(自)	攻撃力UP(単体)	攻撃力UP(範囲)	攻撃力UP(フィールド)	攻撃力UP(SP)
会心値UP(自)	会心値UP(単体)	会心値UP(範囲)	会心値UP(フィールド)	会心値UP(SP)
会心ダメージUP(自)	会心ダメージUP(単体)	会心ダメージUP(範囲)	会心ダメージUP(フィールド)	会心ダメージUP(SP)
会心ダメージ低効率UP(自)	会心ダメージ低効率UP(単体)	会心ダメージ低効率UP(範囲)	会心ダメージ低効率UP(フィールド)	会心ダメージ低効率UP(SP)
爆発特効UP(自)	爆発特効UP(単体)	爆発特効UP(範囲)	爆発特効UP(フィールド)	爆発特効UP(SP)
貫通特効UP(自)	貫通特効UP(単体)	貫通特効UP(範囲)	貫通特効UP(フィールド)	貫通特効UP(SP)
神秘特効UP(自)	神秘特効UP(単体)	神秘特効UP(範囲)	神秘特効UP(フィールド)	神秘特効UP(SP)
振動特効UP(自)	振動特効UP(単体)	振動特効UP(範囲)	振動特効UP(フィールド)	振動特効UP(SP)
分解特攻UP(自)	分解特攻UP(単体)	分解特攻UP(範囲)	分解特攻UP(フィールド)	分解特攻UP(SP)
防御力UP(自)	防御力UP(単体)	防御力UP(範囲)	防御力UP(フィールド)	防御力UP(SP)
回避値UP(自)	回避値UP(単体)	回避値UP(範囲)	回避値UP(フィールド)	回避値UP(SP)
攻撃速度UP(自)	攻撃速度UP(単体)	攻撃速度UP(範囲)	攻撃速度UP(フィールド)	攻撃速度UP(SP)
移動速度UP(自)	移動速度UP(単体)	移動速度UP(範囲)	移動速度UP(フィールド)	移動速度UP(SP)
基礎熟練度UP(自)	基礎熟練度UP(単体)	基礎熟練度UP(範囲)	基礎熟練度UP(フィールド)	基礎熟練度UP(SP)
命中値UP(自)	命中値UP(単体)	命中値UP(範囲)	命中値UP(フィールド)	命中値UP(SP)
EXダメージUP(自)	EXダメージUP(単体)	EXダメージUP(範囲)	EXダメージUP(フィールド)	EXダメージUP(SP)
被回復率UP(自)	被回復率UP(単体)	被回復率UP(範囲)	被回復率UP(フィールド)	被回復率UP(SP)
治癒力UP(自)	治癒力UP(単体)	治癒力UP(範囲)	治癒力UP(フィールド)	治癒力UP(SP)
コスト回復力UP(自)	コスト回復力UP(単体)	コスト回復力UP(範囲)	コスト回復力UP(フィールド)	コスト回復力UP(SP)
HPUP(自)	HPUP(単体)	HPUP(範囲)	HPUP(フィールド)	HPUP(SP)
CC強化力UP(自)	CC強化力UP(単体)	CC強化力UP(範囲)	CC強化力UP(フィールド)	CC強化力UP(SP)
CC抵抗力UP(自)	CC抵抗力UP(単体)	CC抵抗力UP(範囲)	CC抵抗力UP(フィールド)	CC抵抗力UP(SP)
安定値UP(自)	安定値UP(単体)	安定値UP(範囲)	安定値UP(フィールド)	安定値UP(SP)
攻撃力DOWN(自)	攻撃力DOWN(単体)	攻撃力DOWN(範囲)	攻撃力DOWN(フィールド)	攻撃力DOWN(SP)
会心値DOWN(自)	会心値DOWN(単体)	会心値DOWN(範囲)	会心値DOWN(フィールド)	会心値DOWN(SP)
会心ダメージDOWN(自)	会心ダメージDOWN(単体)	会心ダメージDOWN(範囲)	会心ダメージDOWN(フィールド)	会心ダメージDOWN(SP)
爆発特効DOWN(自)	爆発特効DOWN(単体)	爆発特効DOWN(範囲)	爆発特効DOWN(フィールド)	爆発特効DOWN(SP)
貫通特効DOWN(自)	貫通特効DOWN(単体)	貫通特効DOWN(範囲)	貫通特効DOWN(フィールド)	貫通特効DOWN(SP)
神秘特効DOWN(自)	神秘特効DOWN(単体)	神秘特効DOWN(範囲)	神秘特効DOWN(フィールド)	神秘特効DOWN(SP)
振動特効DOWN(自)	振動特効DOWN(単体)	振動特効DOWN(範囲)	振動特効DOWN(フィールド)	振動特効DOWN(SP)
分解特攻DOWN(自)	分解特攻DOWN(単体)	分解特攻DOWN(範囲)	分解特攻DOWN(フィールド)	分解特攻DOWN(SP)
防御力DOWN(自)	防御力DOWN(単体)	防御力DOWN(範囲)	防御力DOWN(フィールド)	防御力DOWN(SP)
回避値DOWN(自)	回避値DOWN(単体)	回避値DOWN(範囲)	回避値DOWN(フィールド)	回避値DOWN(SP)
攻撃速度DOWN(自)	攻撃速度DOWN(単体)	攻撃速度DOWN(範囲)	攻撃速度DOWN(フィールド)	攻撃速度DOWN(SP)
移動速度DOWN(自)	移動速度DOWN(単体)	移動速度DOWN(範囲)	移動速度DOWN(フィールド)	移動速度DOWN(SP)
基礎熟練度DOWN(自)	基礎熟練度DOWN(単体)	基礎熟練度DOWN(範囲)	基礎熟練度DOWN(フィールド)	基礎熟練度DOWN(SP)
命中値DOWN(自)	命中値DOWN(単体)	命中値DOWN(範囲)	命中値DOWN(フィールド)	命中値DOWN(SP)
EXダメージDOWN(自)	EXダメージDOWN(単体)	EXダメージDOWN(範囲)	EXダメージDOWN(フィールド)	EXダメージDOWN(SP)
被回復率DOWN(自)	被回復率DOWN(単体)	被回復率DOWN(範囲)	被回復率DOWN(フィールド)	被回復率DOWN(SP)
治癒力DOWN(自)	治癒力DOWN(単体)	治癒力DOWN(範囲)	治癒力DOWN(フィールド)	治癒力DOWN(SP)
コスト回復力DOWN(自)	コスト回復力DOWN(単体)	コスト回復力DOWN(範囲)	コスト回復力DOWN(フィールド)	コスト回復力DOWN(SP)
HPDOWN(自)	HPDOWN(単体)	HPDOWN(範囲)	HPDOWN(フィールド)	HPDOWN(SP)
CC強化力DOWN(自)	CC強化力DOWN(単体)	CC強化力DOWN(範囲)	CC強化力DOWN(フィールド)	CC強化力DOWN(SP)
CC抵抗力DOWN(自)	CC抵抗力DOWN(単体)	CC抵抗力DOWN(範囲)	CC抵抗力DOWN(フィールド)	CC抵抗力DOWN(SP)
安定値DOWN(自)	安定値DOWN(単体)	安定値DOWN(範囲)	安定値DOWN(フィールド)	安定値DOWN(SP)
被特効ダメージUP(自)	被特効ダメージUP(単体)	被特効ダメージUP(範囲)	被特効ダメージUP(フィールド)	被特効ダメージUP(SP)
会心抵抗値DOWN(自)	会心抵抗値DOWN(単体)	会心抵抗値DOWN(範囲)	会心抵抗値DOWN(フィールド)	会心抵抗値DOWN(SP)
会心ダメージ抵抗率DOWN(自)	会心ダメージ抵抗率DOWN(単体)	会心ダメージ抵抗率DOWN(範囲)	会心ダメージ抵抗率DOWN(フィールド)	会心ダメージ抵抗率DOWN(SP)
シールド(自)	シールド(単体)	シールド(範囲)		
HP回復(自)	HP回復(単体)	HP回復(範囲)	HP回復(フィールド)	
HP持続回復(自)	HP持続回復(単体)	HP持続回復(範囲)	HP持続回復(フィールド)	
移動(自)	移動(単体)	移動(範囲)		
	敵移動(単体)	敵移動(範囲)		
				
ダメージ(自)	ダメージ(単体)	ダメージ(範囲)	ダメージ(フィールド)	
弱体状態解除(自)	弱体状態解除(他)			
	弱点把握状態	集中砲火状態	確定会心	防御無視
挑発	恐怖	気絶	混乱	
中毒	悪寒	火傷	悪寒、中毒ダメージ強化	
